country,sidea,sideb,Med_yes.no,year_term,Incompatibility,territory,episode.start.date,episode.end.date,med.begins,med.ends,name.of.third.party
Afghanistan,"Afghanistan, USA, UK, Belgium, Canada, Czech Republic, France, Germany, Italy, P","Taleban, Hizb-i Islami-yi Afghanistan - Hekmatyar faction",1,2009,2,Afghanistan,6/5/03,,11/23/09,,"Fazlur Rehman Khalil, a Kashmiri Jihadi leader"
Afghanistan,Afghanistan,"UIFSA, Australia, Canada, France, Germany, Italy, Japan, Jordan, Netherlands",1,2001,2,Afghanistan,4/27/78,12/7/01,2/10/88,6/23/88,"UN, OIC, UIFSA, Australia, Canada, France, Germany, Italy, Japan, Jordan, Netherlands"
Algeria,Algeria,GSPC,1,2009,1,Algeria,12/9/91,,6/12/06,6/12/07,Hadj Bettou
Angola,Angola,FLEC-FAC,0,1998,1,Cabinda,1/1/96,12/31/98,,,"Catholic Bishop of Cabinda, Dom Paulino Madeca,"
Angola,Angola,FLEC-FAC,0,2004,1,Cabinda,2/10/04,12/31/04,,,
Afghanistan,Afghanistan,Taleban,1,2008,2,Afghanistan,6/5/03,,9/24/08,9/28/08,King Abdullah of Saudi Arabia
Angola,Angola,FLEC-FAC,0,2007,1,Cabinda,5/12/07,12/31/07,,,
Angola,Angola,FLEC_FAC,0,2009,1,Cabinda,6/14/09,,,,
Angola,Angola,"FLEC-FAC, FLEC-R",0,1994,1,Cabinda,1/1/94,12/31/94,,,
Angola,Angola,"FLEC-FAC, FLEC-R",1,1998,1,Cabinda,1/1/96,12/31/98,3//1996,4/11/96,Namibia
Angola,Angola,"FLEC-FAC, FLEC-R",0,2002,1,Cabinda,1/1/02,12/31/02,,,
Angola,Angola,FLEC-R,0,1991,1,Cabinda,6/1/91,12/31/91,,,
Angola,Angola,UNITA,1,1995,2,Angola,11/11/75,12/31/95,1//1988,10/31/94,United Nations
Angola,Angola,UNITA,1,2002,2,Angola,3/12/98,4/4/02,3/15/02,4/4/02,UN
Angola,Angola,"UNITA, MLLP-LP",1,1995,2,,11/11/75,12/31/95,1/6/94,1/30/94,"Beye, the UN Special Rep in Angola"
Angola,Angola,"UNITA, MLLP-LP",1,1995,2,,11/11/75,12/31/95,10/31/94,10/31/94,"Beye, the UN Special Rep in Angola"
Angola,Angola,"UNITA, MLLP-LP",1,1995,2,,11/11/75,12/31/95,11/27/92,11/27/92,"M. Anstee, The UN Special Repesentative in Angola"
Angola,Angola,"UNITA, MLLP-LP",1,1995,2,,11/11/75,12/31/95,12/22/93,12/22/93,"Alioume Blondin Beye, the UN Special Rep in Angola"
Angola,Angola,"UNITA, MLLP-LP",1,1995,2,,11/11/75,12/31/95,2/2/93,2/2/93,"M. Anstee, The UN Special Repesentative in Angola"
Angola,Angola,"UNITA, MLLP-LP",1,1995,2,,11/11/75,12/31/95,3/1/96,3/1/96,"Beye, the UN Special Rep in Angola"
Angola,Angola,"UNITA, MLLP-LP",1,1995,2,,11/11/75,12/31/95,4/12/93,5/21/93,"M. Anstee, The UN Special Repesentative in Angola"
Angola,Angola,"UNITA, MLLP-LP",1,1995,2,,11/11/75,12/31/95,5/17/95,5/17/95,"Beye, the UN Special Rep in Angola"
Argentina,Argentina,"ERP , Montoneros",0,1977,2,Argentina,12/31/73,12/31/77,,,
Argentina,Argentina,Military faction,0,1955,2,Argentina,1/16/55,9/19/55,,,
Argentina,Argentina,Military faction,0,1963,2,Argentina,9/19/63,9/22/63,,,
