ID,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incomp,Terr,YEAR,Int,CumInt,Type,Startdate,StartPrec,StartDate2,Startprec2,EpEnd,EpEndDate,EpEndPrec,GWNOA,GWNOA2nd,GWNOB,GWNOB2nd,GWNOLoc,Region,Version
1,Bolivia,Bolivia,,Popular Revolutionary Movement,1580,,2,,1946,2,1,3,1946-06-30,4,1946-06-30,4,1,1946-07-21,1,145,,,,145,5,4-2013
1,Bolivia,Bolivia,,MNR,1581,,2,,1952,1,1,3,1946-06-30,4,1952-04-09,1,1,1952-04-12,1,145,,,,145,5,4-2013
1,Bolivia,Bolivia,,ELN,1582,,2,,1967,1,1,3,1946-06-30,4,1967-03-31,3,1,1967-10-16,1,145,,,,145,5,4-2013
2,Cambodia (Kampuchea),France,,Khmer Issarak,1001,,1,Cambodia,1946,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4-2013
2,Cambodia (Kampuchea),France,,Khmer Issarak,1001,,1,Cambodia,1947,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4-2013
2,Cambodia (Kampuchea),France,,Khmer Issarak,1001,,1,Cambodia,1948,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4-2013
2,Cambodia (Kampuchea),France,,Khmer Issarak,1001,,1,Cambodia,1949,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4-2013
2,Cambodia (Kampuchea),France,,Khmer Issarak,1001,,1,Cambodia,1950,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4-2013
2,Cambodia (Kampuchea),France,,Khmer Issarak,1001,,1,Cambodia,1951,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4-2013
2,Cambodia (Kampuchea),France,,Khmer Issarak,1001,,1,Cambodia,1952,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4-2013
2,Cambodia (Kampuchea),France,,Khmer Issarak,1001,,1,Cambodia,1953,1,0,1,1946-08-31,3,1946-08-31,3,1,1953-11-09,1,220,,,,811,3,4-2013
3,China,China,,PLA,1002,,2,,1946,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,4-2013
3,China,China,,PLA,1002,,2,,1947,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,4-2013
3,China,China,,PLA,1002,,2,,1948,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,4-2013
